$ ./cook
[11:00 am] Cook C is ready
[11:00 am] 	Cook D is ready
[11:01 am] Cook C: Preparing order (Waiter V, Customer 2, Count 2)
[11:01 am] 	Cook D: Preparing order (Waiter U, Customer 1, Count 4)
[11:11 am] Cook C: Prepared order (Waiter V, Customer 2, Count 2)
[11:11 am] Cook C: Preparing order (Waiter W, Customer 3, Count 1)
[11:16 am] Cook C: Prepared order (Waiter W, Customer 3, Count 1)
[11:16 am] Cook C: Preparing order (Waiter X, Customer 4, Count 4)
[11:21 am] 	Cook D: Prepared order (Waiter U, Customer 1, Count 4)
[11:21 am] 	Cook D: Preparing order (Waiter Y, Customer 5, Count 2)
[11:31 am] 	Cook D: Prepared order (Waiter Y, Customer 5, Count 2)
[11:31 am] 	Cook D: Preparing order (Waiter U, Customer 6, Count 2)
[11:36 am] Cook C: Prepared order (Waiter X, Customer 4, Count 4)
[11:36 am] Cook C: Preparing order (Waiter V, Customer 7, Count 1)
[11:41 am] 	Cook D: Prepared order (Waiter U, Customer 6, Count 2)
[11:41 am] 	Cook D: Preparing order (Waiter W, Customer 8, Count 1)
[11:41 am] Cook C: Prepared order (Waiter V, Customer 7, Count 1)
[11:41 am] Cook C: Preparing order (Waiter X, Customer 9, Count 1)
[11:46 am] 	Cook D: Prepared order (Waiter W, Customer 8, Count 1)
[11:46 am] 	Cook D: Preparing order (Waiter Y, Customer 10, Count 1)
[11:46 am] Cook C: Prepared order (Waiter X, Customer 9, Count 1)
[11:46 am] Cook C: Preparing order (Waiter U, Customer 16, Count 2)
[11:51 am] 	Cook D: Prepared order (Waiter Y, Customer 10, Count 1)
[11:52 am] 	Cook D: Preparing order (Waiter V, Customer 17, Count 1)
[11:56 am] Cook C: Prepared order (Waiter U, Customer 16, Count 2)
[11:57 am] Cook C: Preparing order (Waiter W, Customer 18, Count 2)
[11:57 am] 	Cook D: Prepared order (Waiter V, Customer 17, Count 1)
[12:03 pm] 	Cook D: Preparing order (Waiter X, Customer 21, Count 3)
[12:07 pm] Cook C: Prepared order (Waiter W, Customer 18, Count 2)
[12:15 pm] Cook C: Preparing order (Waiter Y, Customer 23, Count 1)
[12:18 pm] 	Cook D: Prepared order (Waiter X, Customer 21, Count 3)
[12:18 pm] 	Cook D: Preparing order (Waiter U, Customer 24, Count 3)
[12:20 pm] Cook C: Prepared order (Waiter Y, Customer 23, Count 1)
[12:20 pm] Cook C: Preparing order (Waiter V, Customer 25, Count 2)
[12:30 pm] Cook C: Prepared order (Waiter V, Customer 25, Count 2)
[12:30 pm] Cook C: Preparing order (Waiter W, Customer 26, Count 1)
[12:33 pm] 	Cook D: Prepared order (Waiter U, Customer 24, Count 3)
[12:33 pm] 	Cook D: Preparing order (Waiter X, Customer 27, Count 2)
[12:35 pm] Cook C: Prepared order (Waiter W, Customer 26, Count 1)
[12:36 pm] Cook C: Preparing order (Waiter Y, Customer 28, Count 1)
[12:41 pm] Cook C: Prepared order (Waiter Y, Customer 28, Count 1)
[12:43 pm] 	Cook D: Prepared order (Waiter X, Customer 27, Count 2)
[12:45 pm] Cook C: Preparing order (Waiter U, Customer 29, Count 1)
[12:50 pm] Cook C: Prepared order (Waiter U, Customer 29, Count 1)
[12:51 pm] 	Cook D: Preparing order (Waiter V, Customer 30, Count 3)
[12:53 pm] Cook C: Preparing order (Waiter W, Customer 31, Count 2)
[01:03 pm] Cook C: Prepared order (Waiter W, Customer 31, Count 2)
[01:03 pm] Cook C: Preparing order (Waiter X, Customer 32, Count 1)
[01:06 pm] 	Cook D: Prepared order (Waiter V, Customer 30, Count 3)
[01:06 pm] 	Cook D: Preparing order (Waiter Y, Customer 33, Count 2)
[01:08 pm] Cook C: Prepared order (Waiter X, Customer 32, Count 1)
[01:08 pm] Cook C: Preparing order (Waiter U, Customer 34, Count 1)
[01:13 pm] Cook C: Prepared order (Waiter U, Customer 34, Count 1)
[01:13 pm] Cook C: Preparing order (Waiter V, Customer 35, Count 1)
[01:16 pm] 	Cook D: Prepared order (Waiter Y, Customer 33, Count 2)
[01:16 pm] 	Cook D: Preparing order (Waiter W, Customer 38, Count 1)
[01:18 pm] Cook C: Prepared order (Waiter V, Customer 35, Count 1)
